posted,neighborhood,post title,number bedrooms,sqft,price
2020-12-11 09:02:00,Soma,ONE RINCON | Bay Bridge View XL 2BR + Bonus Room | Skybox Realty,2,1856,"$7,999"
2020-12-11 09:02:00,Haight Ashbury,"Furnished, View One Bd, One Bath",1,NA,"$2,450"
2020-12-11 09:00:00,Laurel Hts,"2 or 3 Bedroom, 1 Bath In Great Location, Jordan Park",2,NA,"$3,500"
2020-12-11 08:59:00,North Beach,"City Living in heart of North Beach, Two Parlor Rooms",1,600,"$2,300"
2020-12-11 08:59:00,Marina,"2br Cow Hollow garden cottage w/remodeled kitchen, wood flrs, laundry",2,NA,"$3,595"
2020-12-11 08:58:00,Mission District,►3D VIRTUAL TOUR ►OPEN HOME SUNDAY ►REMODELED,2,NA,"$2,999"
2020-12-11 08:58:00,Twin Peaks,Remodeled Spacious 1 Bedroom,1,700,"$2,650"
2020-12-11 08:57:00,Soma,"Top Floor 1Bed+DenCondo w/Hardwood Floor, Bay View, Parking, Amenities",1,982,"$3,200"
2020-12-11 08:56:00,Noe Valley,Large Noe Valley Apartment - Unfurnished ~ J.Wavro,2,NA,"$3,800"
2020-12-11 08:55:00,Alamo Square,"Disability Access, Large Closets, Private Balcony",2,760,"$1,965"
2020-12-11 08:55:00,Castro,Awesome Bright Remodeled Top Floor 3bd! Heart of Castro! ~ J.Wavro,3,NA,"$4,495"
2020-12-11 08:53:00,Hayes Valley,"Updated Bright 2BR, 1BA Unit in Classic Victorian near Alamo Square",2,NA,"$3,475"
2020-12-11 08:53:00,Hayes Valley,"Updated 2+BR, 1BA Apartment in Classic Victorian near Alamo Square",3,NA,"$3,200"
2020-12-11 08:53:00,Lower Nob Hill,Remodeled One Bedroom,1,NA,"$2,295"
